Designator,Mid X,Mid Y,Rotation,Layer
BT1,206.0,-41.0,90.0,top
BT2,219.485,-68.5,180.0,top
D1,225.23,-26.0,180.0,bottom
D2,237.23,-49.0,180.0,bottom
D3,237.27,-41.0,180.0,bottom
M1,223.0,-39.27,180.0,top
R1,237.0,-68.5,180.0,top
R2,214.0,-26.5,0.0,top
RV1,242.08,-58.27,90.0,bottom
SW1,221.75,-52.75,180.0,bottom
